work_id,completion_date,completion_marked_date,final_expenditure_inr,utilization_certificate_status,utilization_certificate_date,asset_id,asset_type,user_agency,asset_register_entry,handover_date,public_use_date,audit_status,audit_date,audit_observation_category,compliance_status,maintenance_agency,completion_photo_reference,source_type,synthetic_marker
W-000890,2026-08-31,2026-09-03,3500000,Submitted,2026-09-20,ASSET-W-000890,Library Room,Demo Village 32 Demo User Agency,Yes,2026-09-20,2026-09-10,Completed,2026-10-08,None recorded,Compliant,Demo Village 32 Demo Local Body,demo://photos/W-000890/completion,SYNTHETIC_PROTOTYPE,True
W-000892,2026-08-31,2026-09-05,1503000,Submitted,2026-09-11,ASSET-W-000892,Solid Waste Shed,Demo Village 9 Demo User Agency,Yes,2026-09-05,2026-09-29,Completed,2026-10-30,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000892/completion,SYNTHETIC_PROTOTYPE,True
W-000893,2026-08-31,2026-09-05,2808000,Submitted,2026-10-08,ASSET-W-000893,Playground Development,Demo Village 4 Demo User Agency,Yes,2026-09-20,2026-09-03,Pending,,None recorded,Compliant,Demo Village 4 Demo Local Body,demo://photos/W-000893/completion,SYNTHETIC_PROTOTYPE,True
W-000896,2026-08-31,2026-09-06,1341000,Submitted,2026-10-08,ASSET-W-000896,Health Sub-Centre,Demo Village 23 Demo User Agency,Yes,2026-09-08,2026-09-14,Completed,2026-11-18,None recorded,Compliant,Demo Village 23 Demo Local Body,demo://photos/W-000896/completion,SYNTHETIC_PROTOTYPE,True
W-000897,2026-08-31,2026-09-08,2555000,Submitted,2026-09-30,ASSET-W-000897,School Toilet,Demo Village 30 Demo User Agency,Yes,2026-09-02,2026-09-23,Pending,,None recorded,Compliant,Demo Village 30 Demo Local Body,demo://photos/W-000897/completion,SYNTHETIC_PROTOTYPE,True
W-000899,2026-08-31,2026-09-10,625000,Submitted,2026-10-08,ASSET-W-000899,Playground Development,Demo Village 16 Demo User Agency,Yes,2026-09-14,2026-09-26,Completed,2026-12-09,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000899/completion,SYNTHETIC_PROTOTYPE,True
W-000900,2026-08-31,2026-09-01,4276000,Submitted,2026-09-07,ASSET-W-000900,Rural Road,Demo Village 8 Demo User Agency,Yes,2026-09-02,2026-09-21,Not Due,,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000900/completion,SYNTHETIC_PROTOTYPE,True
W-000904,2026-08-31,2026-09-09,1995000,Submitted,2026-10-12,ASSET-W-000904,Drainage,Demo Village 16 Demo User Agency,Yes,2026-09-01,2026-09-09,Pending,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000904/completion,SYNTHETIC_PROTOTYPE,True
W-000905,2026-08-31,2026-09-02,588000,Submitted,2026-09-22,ASSET-W-000905,Solar Street Lights,Demo Village 16 Demo User Agency,Yes,2026-09-07,2026-09-19,Pending,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000905/completion,SYNTHETIC_PROTOTYPE,True
W-000907,2026-08-31,2026-09-08,538000,Submitted,2026-10-10,ASSET-W-000907,Solar Public Facility,Demo Village 14 Demo User Agency,Yes,2026-09-13,2026-09-09,Pending,,None recorded,Compliant,Demo Village 14 Demo Local Body,demo://photos/W-000907/completion,SYNTHETIC_PROTOTYPE,True
W-000909,2026-08-31,2026-09-07,618000,Submitted,2026-09-06,ASSET-W-000909,Water Tank,Demo Village 13 Demo User Agency,Yes,2026-09-03,2026-09-27,Completed,2027-02-27,None recorded,Compliant,Demo Village 13 Demo Local Body,demo://photos/W-000909/completion,SYNTHETIC_PROTOTYPE,True
W-000912,2026-08-31,2026-09-09,1491000,Submitted,2026-09-19,ASSET-W-000912,CC Road,Demo Village 29 Demo User Agency,Yes,2026-09-11,2026-09-24,Not Due,,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000912/completion,SYNTHETIC_PROTOTYPE,True
W-000914,2026-08-31,2026-09-02,2637000,Submitted,2026-09-27,ASSET-W-000914,Playground Development,Demo Village 34 Demo User Agency,Yes,2026-09-19,2026-09-29,Not Due,,None recorded,Compliant,Demo Village 34 Demo Local Body,demo://photos/W-000914/completion,SYNTHETIC_PROTOTYPE,True
W-000917,2026-08-31,2026-09-02,1079000,Submitted,2026-09-06,ASSET-W-000917,Community Sanitation,Demo Village 11 Demo User Agency,Yes,2026-09-04,2026-09-09,Pending,,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000917/completion,SYNTHETIC_PROTOTYPE,True
W-000918,2026-08-31,2026-09-02,2856000,Submitted,2026-09-15,ASSET-W-000918,Community Hall,Demo Village 27 Demo User Agency,Yes,2026-09-20,2026-09-17,Not Due,,None recorded,Compliant,Demo Village 27 Demo Local Body,demo://photos/W-000918/completion,SYNTHETIC_PROTOTYPE,True
W-000919,2026-08-31,2026-09-02,2542000,Submitted,2026-09-23,ASSET-W-000919,RO Water Plant,Demo Village 9 Demo User Agency,Yes,2026-09-01,2026-09-11,Pending,,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000919/completion,SYNTHETIC_PROTOTYPE,True
W-000921,2026-08-31,2026-09-01,1089000,Submitted,2026-09-08,ASSET-W-000921,Bus Shelter,Demo Village 20 Demo User Agency,Yes,2026-09-17,2026-09-10,Not Due,,None recorded,Compliant,Demo Village 20 Demo Local Body,demo://photos/W-000921/completion,SYNTHETIC_PROTOTYPE,True
W-000926,2026-08-31,2026-09-03,1524000,Submitted,2026-09-22,ASSET-W-000926,School Classroom,Demo Village 2 Demo User Agency,Yes,2026-09-14,2026-09-29,Completed,2027-01-19,None recorded,Compliant,Demo Village 2 Demo Local Body,demo://photos/W-000926/completion,SYNTHETIC_PROTOTYPE,True
W-000927,2026-08-31,2026-09-01,1411000,Submitted,2026-09-21,ASSET-W-000927,Small Bridge,Demo Village 19 Demo User Agency,Yes,2026-09-14,2026-09-27,Completed,2027-02-12,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000927/completion,SYNTHETIC_PROTOTYPE,True
W-000929,2026-08-31,2026-08-31,966000,Submitted,2026-09-24,ASSET-W-000929,Water Tank,Demo Village 29 Demo User Agency,Yes,2026-09-16,2026-09-26,Not Due,,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000929/completion,SYNTHETIC_PROTOTYPE,True
W-000930,2026-08-31,2026-09-05,1163000,Submitted,2026-10-14,ASSET-W-000930,Anganwadi Building,Demo Village 13 Demo User Agency,Yes,2026-09-13,2026-09-18,Pending,,None recorded,Compliant,Demo Village 13 Demo Local Body,demo://photos/W-000930/completion,SYNTHETIC_PROTOTYPE,True
W-000933,2026-08-31,2026-09-10,2399000,Pending,,ASSET-W-000933,PHC Equipment Room,Demo Village 33 Demo User Agency,No,2026-09-01,2026-09-18,Pending,,Documentation / closure review,Review Required,Demo Village 33 Demo Local Body,demo://photos/W-000933/completion,SYNTHETIC_PROTOTYPE,True
W-000934,2026-08-31,2026-09-05,1181000,Submitted,2026-10-12,ASSET-W-000934,Sports Equipment Facility,Demo Village 5 Demo User Agency,Yes,2026-09-01,2026-09-01,Completed,2026-12-10,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000934/completion,SYNTHETIC_PROTOTYPE,True
W-000935,2026-08-31,2026-08-31,3050000,Submitted,2026-10-09,ASSET-W-000935,Public Waiting Hall,Demo Village 14 Demo User Agency,Yes,2026-09-08,2026-09-03,Pending,,None recorded,Compliant,Demo Village 14 Demo Local Body,demo://photos/W-000935/completion,SYNTHETIC_PROTOTYPE,True
W-000936,2026-08-31,2026-09-03,4365000,Submitted,2026-10-08,ASSET-W-000936,Rural Road,Demo Village 19 Demo User Agency,Yes,2026-09-11,2026-09-22,Pending,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000936/completion,SYNTHETIC_PROTOTYPE,True
W-000937,2026-08-31,2026-09-08,2941000,Submitted,2026-10-14,ASSET-W-000937,Open Gym,Demo Village 26 Demo User Agency,Yes,2026-09-05,2026-09-03,Completed,2027-01-31,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-000937/completion,SYNTHETIC_PROTOTYPE,True
W-000939,2026-08-31,2026-09-08,1467000,Submitted,2026-09-28,ASSET-W-000939,Public Waiting Hall,Demo Village 17 Demo User Agency,Yes,2026-09-12,2026-09-24,Completed,2026-10-30,None recorded,Compliant,Demo Village 17 Demo Local Body,demo://photos/W-000939/completion,SYNTHETIC_PROTOTYPE,True
W-000940,2026-08-31,2026-09-10,3565000,Submitted,2026-09-27,ASSET-W-000940,Anganwadi Building,Demo Village 12 Demo User Agency,Yes,2026-09-09,2026-09-24,Completed,2026-11-21,None recorded,Compliant,Demo Village 12 Demo Local Body,demo://photos/W-000940/completion,SYNTHETIC_PROTOTYPE,True
W-000941,2026-08-31,2026-08-31,1553000,Submitted,2026-09-08,ASSET-W-000941,Water Tank,Demo Village 24 Demo User Agency,Yes,2026-09-14,2026-09-18,Not Due,,None recorded,Compliant,Demo Village 24 Demo Local Body,demo://photos/W-000941/completion,SYNTHETIC_PROTOTYPE,True
W-000944,2026-08-31,2026-09-08,2772000,Submitted,2026-09-20,ASSET-W-000944,Community Sanitation,Demo Village 6 Demo User Agency,Yes,2026-09-18,2026-09-20,Pending,,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000944/completion,SYNTHETIC_PROTOTYPE,True
W-000945,2026-08-31,2026-09-07,3329000,Submitted,2026-10-10,ASSET-W-000945,Library Room,Demo Village 2 Demo User Agency,Yes,2026-09-05,2026-09-08,Not Due,,None recorded,Compliant,Demo Village 2 Demo Local Body,demo://photos/W-000945/completion,SYNTHETIC_PROTOTYPE,True
W-000946,2026-08-31,2026-09-07,2730000,Submitted,2026-09-10,ASSET-W-000946,Drainage,Demo Village 18 Demo User Agency,Yes,2026-09-02,2026-09-05,Pending,,None recorded,Compliant,Demo Village 18 Demo Local Body,demo://photos/W-000946/completion,SYNTHETIC_PROTOTYPE,True
W-000947,2026-08-31,2026-09-07,2263000,Submitted,2026-10-12,ASSET-W-000947,Library Room,Demo Village 32 Demo User Agency,Yes,2026-09-06,2026-09-18,Pending,,None recorded,Compliant,Demo Village 32 Demo Local Body,demo://photos/W-000947/completion,SYNTHETIC_PROTOTYPE,True
W-000948,2026-08-31,2026-09-08,900000,Submitted,2026-09-15,ASSET-W-000948,Indoor Sports Hall,Demo Village 8 Demo User Agency,Yes,2026-09-05,2026-09-07,Completed,2027-01-06,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000948/completion,SYNTHETIC_PROTOTYPE,True
W-000950,2026-08-31,2026-09-08,2154000,Submitted,2026-10-08,ASSET-W-000950,Public Health Facility,Demo Village 30 Demo User Agency,Yes,2026-09-10,2026-09-29,Completed,2026-12-09,None recorded,Compliant,Demo Village 30 Demo Local Body,demo://photos/W-000950/completion,SYNTHETIC_PROTOTYPE,True
W-000952,2026-08-31,2026-09-08,1257000,Submitted,2026-09-21,ASSET-W-000952,Library Room,Demo Village 33 Demo User Agency,Yes,2026-09-01,2026-09-01,Pending,,None recorded,Compliant,Demo Village 33 Demo Local Body,demo://photos/W-000952/completion,SYNTHETIC_PROTOTYPE,True
W-000953,2026-08-31,2026-09-03,1574000,Submitted,2026-09-10,ASSET-W-000953,Solar Water System,Demo Village 22 Demo User Agency,Yes,2026-09-03,2026-09-12,Pending,,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-000953/completion,SYNTHETIC_PROTOTYPE,True
W-000954,2026-08-31,2026-09-01,1233000,Submitted,2026-10-04,ASSET-W-000954,School Classroom,Demo Village 17 Demo User Agency,Yes,2026-09-15,2026-09-23,Completed,2027-01-13,None recorded,Compliant,Demo Village 17 Demo Local Body,demo://photos/W-000954/completion,SYNTHETIC_PROTOTYPE,True
W-000958,2026-08-31,2026-09-06,2065000,Submitted,2026-09-20,ASSET-W-000958,Rural Road,Demo Village 33 Demo User Agency,Yes,2026-09-05,2026-09-13,Completed,2026-11-04,None recorded,Compliant,Demo Village 33 Demo Local Body,demo://photos/W-000958/completion,SYNTHETIC_PROTOTYPE,True
W-000959,2026-08-31,2026-09-03,1566000,Submitted,2026-10-14,ASSET-W-000959,Bus Shelter,Demo Village 9 Demo User Agency,Yes,2026-09-19,2026-09-17,Pending,,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000959/completion,SYNTHETIC_PROTOTYPE,True
W-000960,2026-08-31,2026-09-03,1822000,Submitted,2026-09-21,ASSET-W-000960,Sports Equipment Facility,Demo Village 5 Demo User Agency,Yes,2026-09-07,2026-09-02,Pending,,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000960/completion,SYNTHETIC_PROTOTYPE,True
W-000961,2026-08-31,2026-08-31,1512000,Submitted,2026-09-17,ASSET-W-000961,Digital Classroom,Demo Village 7 Demo User Agency,Yes,2026-09-04,2026-09-19,Pending,,None recorded,Compliant,Demo Village 7 Demo Local Body,demo://photos/W-000961/completion,SYNTHETIC_PROTOTYPE,True
W-000964,2026-08-31,2026-09-04,1868000,Submitted,2026-09-24,ASSET-W-000964,Approach Road,Demo Village 33 Demo User Agency,Yes,2026-09-02,2026-09-03,Not Due,,None recorded,Compliant,Demo Village 33 Demo Local Body,demo://photos/W-000964/completion,SYNTHETIC_PROTOTYPE,True
W-000965,2026-08-31,2026-09-01,2631000,Submitted,2026-09-12,ASSET-W-000965,Drainage,Demo Village 25 Demo User Agency,Yes,2026-09-15,2026-09-02,Completed,2027-01-31,None recorded,Compliant,Demo Village 25 Demo Local Body,demo://photos/W-000965/completion,SYNTHETIC_PROTOTYPE,True
W-000966,2026-08-31,2026-09-08,2715000,Submitted,2026-09-26,ASSET-W-000966,Playground Development,Demo Village 30 Demo User Agency,Yes,2026-09-16,2026-09-23,Pending,,None recorded,Compliant,Demo Village 30 Demo Local Body,demo://photos/W-000966/completion,SYNTHETIC_PROTOTYPE,True
W-000967,2026-08-31,2026-09-07,3609000,Submitted,2026-09-25,ASSET-W-000967,Public Health Facility,Demo Village 27 Demo User Agency,Yes,2026-09-06,2026-09-23,Completed,2027-01-23,None recorded,Compliant,Demo Village 27 Demo Local Body,demo://photos/W-000967/completion,SYNTHETIC_PROTOTYPE,True
W-000968,2026-08-31,2026-09-09,2092000,Submitted,2026-09-14,ASSET-W-000968,Pipeline Extension,Demo Village 6 Demo User Agency,Yes,2026-09-01,2026-09-21,Pending,,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000968/completion,SYNTHETIC_PROTOTYPE,True
W-000969,2026-08-31,2026-08-31,1262000,Submitted,2026-10-14,ASSET-W-000969,CC Road,Demo Village 32 Demo User Agency,Yes,2026-09-08,2026-09-24,Completed,2026-10-01,None recorded,Compliant,Demo Village 32 Demo Local Body,demo://photos/W-000969/completion,SYNTHETIC_PROTOTYPE,True
W-000970,2026-08-31,2026-09-01,4267000,Submitted,2026-10-08,ASSET-W-000970,Approach Road,Demo Village 35 Demo User Agency,Yes,2026-09-08,2026-09-01,Completed,2026-10-26,None recorded,Compliant,Demo Village 35 Demo Local Body,demo://photos/W-000970/completion,SYNTHETIC_PROTOTYPE,True
W-000972,2026-08-31,2026-09-06,1255000,Submitted,2026-10-02,ASSET-W-000972,School Toilet,Demo Village 8 Demo User Agency,Yes,2026-09-01,2026-09-10,Completed,2027-02-01,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000972/completion,SYNTHETIC_PROTOTYPE,True
W-000974,2026-08-31,2026-09-01,2426000,Submitted,2026-09-25,ASSET-W-000974,Rural Road,Demo Village 22 Demo User Agency,Yes,2026-09-06,2026-09-25,Completed,2026-10-15,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-000974/completion,SYNTHETIC_PROTOTYPE,True
W-000975,2026-08-31,2026-09-05,1948000,Submitted,2026-09-07,ASSET-W-000975,Bus Shelter,Demo Village 11 Demo User Agency,Yes,2026-09-13,2026-09-09,Completed,2027-02-22,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000975/completion,SYNTHETIC_PROTOTYPE,True
W-000976,2026-08-31,2026-08-31,3660000,Submitted,2026-09-20,ASSET-W-000976,School Toilet,Demo Village 13 Demo User Agency,Yes,2026-09-19,2026-09-19,Completed,2026-10-31,None recorded,Compliant,Demo Village 13 Demo Local Body,demo://photos/W-000976/completion,SYNTHETIC_PROTOTYPE,True
W-000977,2026-08-31,2026-09-09,1790000,Submitted,2026-10-08,ASSET-W-000977,Solar Public Facility,Demo Village 28 Demo User Agency,Yes,2026-09-01,2026-09-20,Completed,2026-11-18,None recorded,Compliant,Demo Village 28 Demo Local Body,demo://photos/W-000977/completion,SYNTHETIC_PROTOTYPE,True
W-000978,2026-08-31,2026-09-03,1454000,Submitted,2026-09-27,ASSET-W-000978,Solar Street Lights,Demo Village 24 Demo User Agency,Yes,2026-09-13,2026-09-20,Completed,2026-10-03,None recorded,Compliant,Demo Village 24 Demo Local Body,demo://photos/W-000978/completion,SYNTHETIC_PROTOTYPE,True
W-000980,2026-08-31,2026-09-01,1062000,Submitted,2026-10-07,ASSET-W-000980,Playground Development,Demo Village 35 Demo User Agency,Yes,2026-09-20,2026-09-11,Not Due,,None recorded,Compliant,Demo Village 35 Demo Local Body,demo://photos/W-000980/completion,SYNTHETIC_PROTOTYPE,True
W-000981,2026-08-31,2026-09-07,2719000,Submitted,2026-09-26,ASSET-W-000981,Bus Shelter,Demo Village 5 Demo User Agency,Yes,2026-09-08,2026-09-22,Pending,,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000981/completion,SYNTHETIC_PROTOTYPE,True
W-000983,2026-08-31,2026-09-02,2454000,Submitted,2026-10-05,ASSET-W-000983,Borewell,Demo Village 23 Demo User Agency,Yes,2026-09-12,2026-09-09,Completed,2026-12-27,None recorded,Compliant,Demo Village 23 Demo Local Body,demo://photos/W-000983/completion,SYNTHETIC_PROTOTYPE,True
W-000986,2026-08-31,2026-08-31,1203000,Submitted,2026-10-13,ASSET-W-000986,Public Health Facility,Demo Village 20 Demo User Agency,Yes,2026-09-17,2026-09-24,Pending,,None recorded,Compliant,Demo Village 20 Demo Local Body,demo://photos/W-000986/completion,SYNTHETIC_PROTOTYPE,True
W-000988,2026-08-31,2026-09-09,1661000,Submitted,2026-10-13,ASSET-W-000988,Library Room,Demo Village 34 Demo User Agency,Yes,2026-09-11,2026-09-11,Not Due,,None recorded,Compliant,Demo Village 34 Demo Local Body,demo://photos/W-000988/completion,SYNTHETIC_PROTOTYPE,True
W-000989,2026-08-31,2026-09-07,2203000,Submitted,2026-10-01,ASSET-W-000989,Sports Equipment Facility,Demo Village 8 Demo User Agency,Yes,2026-09-12,2026-09-30,Completed,2027-02-10,None recorded,Compliant,Demo Village 8 Demo Local Body,demo://photos/W-000989/completion,SYNTHETIC_PROTOTYPE,True
W-000990,2026-08-31,2026-09-04,2383000,Submitted,2026-10-05,ASSET-W-000990,CC Road,Demo Village 12 Demo User Agency,Yes,2026-09-01,2026-09-22,Completed,2026-12-09,None recorded,Compliant,Demo Village 12 Demo Local Body,demo://photos/W-000990/completion,SYNTHETIC_PROTOTYPE,True
W-000991,2026-08-31,2026-09-04,686000,Submitted,2026-10-09,ASSET-W-000991,Open Gym,Demo Village 11 Demo User Agency,Yes,2026-09-20,2026-09-16,Not Due,,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000991/completion,SYNTHETIC_PROTOTYPE,True
W-000992,2026-08-31,2026-09-01,980000,Submitted,2026-09-09,ASSET-W-000992,Public Health Facility,Demo Village 24 Demo User Agency,Yes,2026-09-16,2026-09-16,Not Due,,None recorded,Compliant,Demo Village 24 Demo Local Body,demo://photos/W-000992/completion,SYNTHETIC_PROTOTYPE,True
W-000993,2026-08-31,2026-09-04,1676000,Submitted,2026-09-17,ASSET-W-000993,Solar Street Lights,Demo Village 9 Demo User Agency,Yes,2026-09-18,2026-09-04,Not Due,,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000993/completion,SYNTHETIC_PROTOTYPE,True
W-000994,2026-08-31,2026-09-09,2375000,Submitted,2026-09-21,ASSET-W-000994,Sports Equipment Facility,Demo Village 16 Demo User Agency,Yes,2026-09-03,2026-09-13,Pending,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000994/completion,SYNTHETIC_PROTOTYPE,True
W-000995,2026-08-31,2026-09-01,2076000,Submitted,2026-09-21,ASSET-W-000995,Open Gym,Demo Village 19 Demo User Agency,Yes,2026-09-14,2026-09-18,Pending,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000995/completion,SYNTHETIC_PROTOTYPE,True
W-000996,2026-08-31,2026-09-04,1028000,Submitted,2026-10-06,ASSET-W-000996,PHC Equipment Room,Demo Village 19 Demo User Agency,Yes,2026-09-10,2026-09-15,Not Due,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000996/completion,SYNTHETIC_PROTOTYPE,True
W-000997,2026-08-31,2026-09-10,3381000,Submitted,2026-09-07,ASSET-W-000997,Bus Shelter,Demo Village 6 Demo User Agency,Yes,2026-09-02,2026-09-21,Not Due,,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000997/completion,SYNTHETIC_PROTOTYPE,True
W-000998,2026-08-31,2026-09-05,2055000,Submitted,2026-09-17,ASSET-W-000998,Drainage,Demo Village 34 Demo User Agency,Yes,2026-09-03,2026-09-21,Pending,,None recorded,Compliant,Demo Village 34 Demo Local Body,demo://photos/W-000998/completion,SYNTHETIC_PROTOTYPE,True
W-001000,2026-08-31,2026-09-09,3013000,Submitted,2026-09-30,ASSET-W-001000,Water Tank,Demo Village 32 Demo User Agency,Yes,2026-09-15,2026-09-11,Pending,,None recorded,Compliant,Demo Village 32 Demo Local Body,demo://photos/W-001000/completion,SYNTHETIC_PROTOTYPE,True
W-001001,2026-08-31,2026-09-09,1211000,Submitted,2026-09-09,ASSET-W-001001,PHC Equipment Room,Demo Village 24 Demo User Agency,Yes,2026-09-02,2026-09-10,Completed,2026-11-19,None recorded,Compliant,Demo Village 24 Demo Local Body,demo://photos/W-001001/completion,SYNTHETIC_PROTOTYPE,True
W-001002,2026-08-31,2026-09-05,2928000,Submitted,2026-10-10,ASSET-W-001002,School Toilet,Demo Village 18 Demo User Agency,Yes,2026-09-16,2026-09-17,Pending,,None recorded,Compliant,Demo Village 18 Demo Local Body,demo://photos/W-001002/completion,SYNTHETIC_PROTOTYPE,True
W-001003,2026-08-31,2026-08-31,432000,Submitted,2026-10-02,ASSET-W-001003,Solar Street Lights,Demo Village 31 Demo User Agency,Yes,2026-09-04,2026-09-27,Not Due,,None recorded,Compliant,Demo Village 31 Demo Local Body,demo://photos/W-001003/completion,SYNTHETIC_PROTOTYPE,True
W-001004,2026-08-31,2026-09-10,2576000,Submitted,2026-10-02,ASSET-W-001004,Bus Shelter,Demo Village 26 Demo User Agency,Yes,2026-09-12,2026-09-08,Pending,,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-001004/completion,SYNTHETIC_PROTOTYPE,True
W-001006,2026-08-31,2026-09-03,1327000,Submitted,2026-09-19,ASSET-W-001006,Public Health Facility,Demo Village 1 Demo User Agency,Yes,2026-09-02,2026-09-29,Not Due,,None recorded,Compliant,Demo Village 1 Demo Local Body,demo://photos/W-001006/completion,SYNTHETIC_PROTOTYPE,True
W-001007,2026-08-31,2026-09-05,1915000,Submitted,2026-09-24,ASSET-W-001007,Borewell,Demo Village 26 Demo User Agency,Yes,2026-09-16,2026-09-10,Not Due,,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-001007/completion,SYNTHETIC_PROTOTYPE,True
W-001009,2026-08-31,2026-09-02,988000,Submitted,2026-09-16,ASSET-W-001009,Health Sub-Centre,Demo Village 22 Demo User Agency,Yes,2026-09-19,2026-09-06,Not Due,,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-001009/completion,SYNTHETIC_PROTOTYPE,True
W-001010,2026-08-31,2026-09-09,1471000,Submitted,2026-09-30,ASSET-W-001010,Solid Waste Shed,Demo Village 10 Demo User Agency,Yes,2026-09-06,2026-09-22,Pending,,None recorded,Compliant,Demo Village 10 Demo Local Body,demo://photos/W-001010/completion,SYNTHETIC_PROTOTYPE,True
W-001011,2026-08-31,2026-09-10,813000,Submitted,2026-09-24,ASSET-W-001011,Pipeline Extension,Demo Village 29 Demo User Agency,Yes,2026-09-10,2026-09-15,Completed,2026-10-02,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-001011/completion,SYNTHETIC_PROTOTYPE,True
W-001012,2026-08-31,2026-09-10,2487000,Submitted,2026-10-05,ASSET-W-001012,Solid Waste Shed,Demo Village 30 Demo User Agency,Yes,2026-09-05,2026-09-27,Pending,,None recorded,Compliant,Demo Village 30 Demo Local Body,demo://photos/W-001012/completion,SYNTHETIC_PROTOTYPE,True
W-001014,2026-08-31,2026-09-08,2731000,Submitted,2026-10-08,ASSET-W-001014,Sports Equipment Facility,Demo Village 9 Demo User Agency,Yes,2026-09-11,2026-09-21,Pending,,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-001014/completion,SYNTHETIC_PROTOTYPE,True
W-001015,2026-08-31,2026-09-02,2895000,Submitted,2026-09-27,ASSET-W-001015,Drainage,Demo Village 27 Demo User Agency,Yes,2026-09-17,2026-09-03,Completed,2026-12-10,None recorded,Compliant,Demo Village 27 Demo Local Body,demo://photos/W-001015/completion,SYNTHETIC_PROTOTYPE,True
W-001016,2026-08-31,2026-09-05,4030000,Submitted,2026-10-07,ASSET-W-001016,Ambulance Shelter,Demo Village 20 Demo User Agency,Yes,2026-09-17,2026-09-13,Completed,2027-01-25,None recorded,Compliant,Demo Village 20 Demo Local Body,demo://photos/W-001016/completion,SYNTHETIC_PROTOTYPE,True
W-001017,2026-08-31,2026-09-07,2795000,Submitted,2026-09-07,ASSET-W-001017,RO Water Plant,Demo Village 28 Demo User Agency,Yes,2026-09-07,2026-09-09,Not Due,,None recorded,Compliant,Demo Village 28 Demo Local Body,demo://photos/W-001017/completion,SYNTHETIC_PROTOTYPE,True
W-001018,2026-08-31,2026-09-09,639000,Submitted,2026-09-29,ASSET-W-001018,Indoor Sports Hall,Demo Village 32 Demo User Agency,Yes,2026-09-06,2026-09-19,Completed,2026-10-18,None recorded,Compliant,Demo Village 32 Demo Local Body,demo://photos/W-001018/completion,SYNTHETIC_PROTOTYPE,True
W-001022,2026-08-31,2026-09-05,1706000,Submitted,2026-09-06,ASSET-W-001022,RO Water Plant,Demo Village 18 Demo User Agency,Yes,2026-09-07,2026-09-30,Completed,2027-02-03,None recorded,Compliant,Demo Village 18 Demo Local Body,demo://photos/W-001022/completion,SYNTHETIC_PROTOTYPE,True
W-001025,2026-08-31,2026-09-05,2830000,Submitted,2026-09-21,ASSET-W-001025,Community Sanitation,Demo Village 2 Demo User Agency,Yes,2026-09-16,2026-09-20,Completed,2026-10-24,None recorded,Compliant,Demo Village 2 Demo Local Body,demo://photos/W-001025/completion,SYNTHETIC_PROTOTYPE,True
W-001026,2026-08-31,2026-09-01,930000,Submitted,2026-09-24,ASSET-W-001026,Anganwadi Building,Demo Village 29 Demo User Agency,Yes,2026-09-10,2026-09-29,Completed,2026-11-15,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-001026/completion,SYNTHETIC_PROTOTYPE,True
W-001027,2026-08-31,2026-09-02,3859000,Submitted,2026-10-13,ASSET-W-001027,Public Waiting Hall,Demo Village 19 Demo User Agency,Yes,2026-09-13,2026-09-07,Pending,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-001027/completion,SYNTHETIC_PROTOTYPE,True
